video_id,unitLabel,moduleLabel
"i4x-Medicine-HRP258-videoalpha-b84b2ece642c441f8a0579f75f19807e","Unit 5: Statistical Inference","Overview/Weekly Teaser"
"i4x-Medicine-HRP258-videoalpha-7cd4bf0813904612bcd583a73ade1d54","Unit 6: P-values (errors  statistical power  and pitfalls)","Overview/Weekly Teaser"
"i4x-Medicine-HRP258-videoalpha-7cd4bf0813904612bcd583a73ade1d54","Unit 6: P-values (errors  statistical power  and pitfalls)","Overview/Weekly Teaser"
"i4x-Medicine-HRP258-videoalpha-a1c9c4f17ad24597878b60e7c1519181","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 1: Type I and Type II errors and Statistical power (12:20 / 4:26)"
"i4x-Medicine-HRP258-videoalpha-a1c9c4f17ad24597878b60e7c1519181","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 1: Type I and Type II errors and Statistical power (12:20 / 4:26)"
"i4x-Medicine-HRP258-videoalpha-bc9f0ddb30264d979a7e9ae471f32dde","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 3: P-value pitfalls: Multiple Testing"
"i4x-Medicine-HRP258-videoalpha-bc9f0ddb30264d979a7e9ae471f32dde","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 3: P-value pitfalls: Multiple Testing"
"i4x-Medicine-HRP258-videoalpha-c26e4247f7724cc3bc407a7a3541ed90","Unit 6: P-values (errors  statistical power  and pitfalls)","Guest Lecture - Case Study:  Multiple Testing in Cardiovascular Medicine (optional)"
"i4x-Medicine-HRP258-videoalpha-c26e4247f7724cc3bc407a7a3541ed90","Unit 6: P-values (errors  statistical power  and pitfalls)","Guest Lecture - Case Study:  Multiple Testing in Cardiovascular Medicine (optional)"
"i4x-Medicine-HRP258-videoalpha-c0894369c7e74119a4de3e455210bde0","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 4: P-value pitfalls: Don't compare P-values!"
"i4x-Medicine-HRP258-videoalpha-c0894369c7e74119a4de3e455210bde0","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 4: P-value pitfalls: Don't compare P-values!"
"i4x-Medicine-HRP258-videoalpha-413d6a45b82848339ab5fd3836dfb928","Getting Started","Math Review (optional)"
"i4x-Medicine-HRP258-videoalpha-413d6a45b82848339ab5fd3836dfb928","Getting Started","Math Review (optional)"
"i4x-Medicine-HRP258-videoalpha-a4220d7ea5194e89b978dca20fe19c1c","Unit 7: Statistical Tests  Part A","Unit 7 R exercise (Optional)"
"i4x-Medicine-HRP258-videoalpha-a4220d7ea5194e89b978dca20fe19c1c","Unit 7: Statistical Tests  Part A","Unit 7 R exercise (Optional)"
"i4x-Medicine-HRP258-videoalpha-4b200d3944cc47e5ae3ad142c1006075","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 1: Review of study designs"
"i4x-Medicine-HRP258-videoalpha-4b200d3944cc47e5ae3ad142c1006075","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 1: Review of study designs"
"i4x-Medicine-HRP258-videoalpha-6d8e5930b76041909c7e8910f9048c4f","Unit 1: Descriptive Statistics and Looking at Data","Module 2: Types of data (7:08)"
"i4x-Medicine-HRP258-videoalpha-6d8e5930b76041909c7e8910f9048c4f","Unit 1: Descriptive Statistics and Looking at Data","Module 2: Types of data (7:08)"
"i4x-Medicine-HRP258-videoalpha-35f3582a6444423197e50006288a7885","Unit 1: Descriptive Statistics and Looking at Data","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-35f3582a6444423197e50006288a7885","Unit 1: Descriptive Statistics and Looking at Data","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-27f8e3b86c84438cbe1915cb4c388d38","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-27f8e3b86c84438cbe1915cb4c388d38","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-c5cbefddbd55429b8a796a6521b9b752","Unit 1: Descriptive Statistics and Looking at Data","Module 5: Dispersion of the data (standard deviation  percentiles)"
"i4x-Medicine-HRP258-videoalpha-c5cbefddbd55429b8a796a6521b9b752","Unit 1: Descriptive Statistics and Looking at Data","Module 5: Dispersion of the data (standard deviation  percentiles)"
"i4x-Medicine-HRP258-videoalpha-2c7e0777b9ec46c8994c423b0e6ea85f","Unit 1: Descriptive Statistics and Looking at Data","Module 6: Exploring real data: lead in lipstick"
"i4x-Medicine-HRP258-videoalpha-2c7e0777b9ec46c8994c423b0e6ea85f","Unit 1: Descriptive Statistics and Looking at Data","Module 6: Exploring real data: lead in lipstick"
"i4x-Medicine-HRP258-videoalpha-4caf169a759348b9a10e50ff9e63b67f","Unit 1: Descriptive Statistics and Looking at Data","Module 4: Measures of central tendency (mean  median) (12:12 /8:16)"
"i4x-Medicine-HRP258-videoalpha-4caf169a759348b9a10e50ff9e63b67f","Unit 1: Descriptive Statistics and Looking at Data","Module 4: Measures of central tendency (mean  median) (12:12 /8:16)"
"i4x-Medicine-HRP258-videoalpha-35f3582a6444423197e50006288a7885","Unit 1: Descriptive Statistics and Looking at Data","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-35f3582a6444423197e50006288a7885","Unit 1: Descriptive Statistics and Looking at Data","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-0be635a3b70a4e0c9751ace49374ee32","Unit 1: Descriptive Statistics and Looking at Data","Unit 1 R exercise 1 (Optional)"
"i4x-Medicine-HRP258-videoalpha-0be635a3b70a4e0c9751ace49374ee32","Unit 1: Descriptive Statistics and Looking at Data","Unit 1 R exercise 1 (Optional)"
"i4x-Medicine-HRP258-videoalpha-6d8e5930b76041909c7e8910f9048c4f","Unit 1: Descriptive Statistics and Looking at Data","Module 2: Types of data (7:08)"
"i4x-Medicine-HRP258-videoalpha-6d8e5930b76041909c7e8910f9048c4f","Unit 1: Descriptive Statistics and Looking at Data","Module 2: Types of data (7:08)"
"i4x-Medicine-HRP258-videoalpha-e2351772d7464966aeb6ae7b974e8710","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-e2351772d7464966aeb6ae7b974e8710","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-fe75278291dc48ff98672ef3502d5042","Unit 1: Descriptive Statistics and Looking at Data","Module 5: Dispersion of the data (standard deviation  percentiles)"
"i4x-Medicine-HRP258-videoalpha-fe75278291dc48ff98672ef3502d5042","Unit 1: Descriptive Statistics and Looking at Data","Module 5: Dispersion of the data (standard deviation  percentiles)"
"i4x-Medicine-HRP258-videoalpha-c29de3a18c264ff39ee17cd711add579","Unit 5: Statistical Inference","Module 7: Hypothesis Testing (p-values)"
"i4x-Medicine-HRP258-videoalpha-c29de3a18c264ff39ee17cd711add579","Unit 5: Statistical Inference","Module 7: Hypothesis Testing (p-values)"
"i4x-Medicine-HRP258-videoalpha-09adec92dd93480da7de9392458fa533","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 6: Communicating risks clearly: absolute vs. relative risks"
"i4x-Medicine-HRP258-videoalpha-09adec92dd93480da7de9392458fa533","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 6: Communicating risks clearly: absolute vs. relative risks"
"i4x-Medicine-HRP258-videoalpha-960e8fb6571e488794bce6ce0c180068","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-960e8fb6571e488794bce6ce0c180068","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-f0808c347a4c45f69c7bf337e100d910","Unit 1: Descriptive Statistics and Looking at Data","Unit 1 R exercise 1 (Optional)"
"i4x-Medicine-HRP258-videoalpha-f0808c347a4c45f69c7bf337e100d910","Unit 1: Descriptive Statistics and Looking at Data","Unit 1 R exercise 1 (Optional)"
"i4x-Medicine-HRP258-videoalpha-ed9d567c4ccb4d078c0c929841495bbc","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 1: Logistic Regression"
"i4x-Medicine-HRP258-videoalpha-ed9d567c4ccb4d078c0c929841495bbc","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 1: Logistic Regression"
"i4x-Medicine-HRP258-videoalpha-6adf0626e63d48aeb88f3e92c9e597cb","Unit 1: Descriptive Statistics and Looking at Data","Module 1: Introduction to datasets"
"i4x-Medicine-HRP258-videoalpha-6adf0626e63d48aeb88f3e92c9e597cb","Unit 1: Descriptive Statistics and Looking at Data","Module 1: Introduction to datasets"
"i4x-Medicine-HRP258-videoalpha-43468b07b99c435dbc104418cb97ecf9","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 2: Measures of disease frequency"
"i4x-Medicine-HRP258-videoalpha-43468b07b99c435dbc104418cb97ecf9","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 2: Measures of disease frequency"
"i4x-Medicine-HRP258-videoalpha-04cdeb59117b42c19e6e55a47265ed38","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 3: Absolute risk differences"
"i4x-Medicine-HRP258-videoalpha-04cdeb59117b42c19e6e55a47265ed38","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 3: Absolute risk differences"
"i4x-Medicine-HRP258-videoalpha-2db4f6a3ecac4a94816f3aef385eedb5","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 5: Odds ratios can mislead"
"i4x-Medicine-HRP258-videoalpha-2db4f6a3ecac4a94816f3aef385eedb5","Unit 2: Review of Study Designs; Measures of Disease Risk and Association","Module 5: Odds ratios can mislead"
"i4x-Medicine-HRP258-videoalpha-a5ebaf5be89647a987e01ac4eff6dc63","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 1: Type I and Type II errors and Statistical power (12:20 / 4:26)"
"i4x-Medicine-HRP258-videoalpha-a5ebaf5be89647a987e01ac4eff6dc63","Unit 6: P-values (errors  statistical power  and pitfalls)","Module 1: Type I and Type II errors and Statistical power (12:20 / 4:26)"
"i4x-Medicine-HRP258-videoalpha-e2351772d7464966aeb6ae7b974e8710","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-e2351772d7464966aeb6ae7b974e8710","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-4e73c751faa34990a9e0fe9f5b93fa03","Unit 4: Probability Distributions","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-4e73c751faa34990a9e0fe9f5b93fa03","Unit 4: Probability Distributions","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-4479ab0525d84081b99d1ce56a7d3554","Unit 4: Probability Distributions","Module 1: Probability Distributions"
"i4x-Medicine-HRP258-videoalpha-4479ab0525d84081b99d1ce56a7d3554","Unit 4: Probability Distributions","Module 1: Probability Distributions"
"i4x-Medicine-HRP258-videoalpha-9fdc173ccb8a48dc8777f5ccf1d48e50","Unit 4: Probability Distributions","Module 2: Expected Value"
"i4x-Medicine-HRP258-videoalpha-9fdc173ccb8a48dc8777f5ccf1d48e50","Unit 4: Probability Distributions","Module 2: Expected Value"
"i4x-Medicine-HRP258-videoalpha-19c6ac866000493785075aaa12fad398","Unit 4: Probability Distributions","Module 3: Variance"
"i4x-Medicine-HRP258-videoalpha-19c6ac866000493785075aaa12fad398","Unit 4: Probability Distributions","Module 3: Variance"
"i4x-Medicine-HRP258-videoalpha-af00b19971d7442886e1f79a64424f29","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-af00b19971d7442886e1f79a64424f29","Unit 4: Probability Distributions","Module 4: The Binomial Distribution (11:02 / 17:13 / 7:23 / 5:04)"
"i4x-Medicine-HRP258-videoalpha-be496fded4f8424da9aacc553f480fa5","Unit 4: Probability Distributions","Module 5: The Normal and Standard Normal Distributions"
"i4x-Medicine-HRP258-videoalpha-be496fded4f8424da9aacc553f480fa5","Unit 4: Probability Distributions","Module 5: The Normal and Standard Normal Distributions"
"i4x-Medicine-HRP258-videoalpha-7265c190ac1d4547b5ae8000335d8fa1","Unit 4: Probability Distributions","Module 6: The Normal Approximation to the Binomial"
"i4x-Medicine-HRP258-videoalpha-7265c190ac1d4547b5ae8000335d8fa1","Unit 4: Probability Distributions","Module 6: The Normal Approximation to the Binomial"
"i4x-Medicine-HRP258-videoalpha-78be3f877b1f483db553aeaca3cd4619","Unit 4: Probability Distributions","Module 7: Assessing Normality in Data (7:03)"
"i4x-Medicine-HRP258-videoalpha-78be3f877b1f483db553aeaca3cd4619","Unit 4: Probability Distributions","Module 7: Assessing Normality in Data (7:03)"
"i4x-Medicine-HRP258-videoalpha-56ef5574524a456eab955e39df90d99b","Unit 5: Statistical Inference","Module 1: Review of Z-distribution  Introduction to T-distribution"
"i4x-Medicine-HRP258-videoalpha-56ef5574524a456eab955e39df90d99b","Unit 5: Statistical Inference","Module 1: Review of Z-distribution  Introduction to T-distribution"
"i4x-Medicine-HRP258-videoalpha-d5381a91d42e4f4eaf11cf47483aadc3","Unit 5: Statistical Inference","Module 2: Introduction to Statistical Inference"
"i4x-Medicine-HRP258-videoalpha-d5381a91d42e4f4eaf11cf47483aadc3","Unit 5: Statistical Inference","Module 2: Introduction to Statistical Inference"
"i4x-Medicine-HRP258-videoalpha-9c0d99be3e5b4eb284bf01ebde6626d6","Unit 5: Statistical Inference","Module 3: Introduction to the Distribution of a Statistic"
"i4x-Medicine-HRP258-videoalpha-9c0d99be3e5b4eb284bf01ebde6626d6","Unit 5: Statistical Inference","Module 3: Introduction to the Distribution of a Statistic"
"i4x-Medicine-HRP258-videoalpha-14898322a2fd454681b7f6b9c40539a8","Unit 5: Statistical Inference","Module 4: Distributions of some common Statistics (11:32 / 9:31 / 8:55)"
"i4x-Medicine-HRP258-videoalpha-14898322a2fd454681b7f6b9c40539a8","Unit 5: Statistical Inference","Module 4: Distributions of some common Statistics (11:32 / 9:31 / 8:55)"
"i4x-Medicine-HRP258-videoalpha-19f3a16bf2964cfab2984c7b51c0be59","Unit 5: Statistical Inference","Module 5: Confidence Intervals (estimation)"
"i4x-Medicine-HRP258-videoalpha-19f3a16bf2964cfab2984c7b51c0be59","Unit 5: Statistical Inference","Module 5: Confidence Intervals (estimation)"
"i4x-Medicine-HRP258-videoalpha-e76f7bf271f64465a0dff0ac3648c79f","Unit 7: Statistical Tests  Part A","Module 1: Comparing Means between 2 Groups"
"i4x-Medicine-HRP258-videoalpha-e76f7bf271f64465a0dff0ac3648c79f","Unit 7: Statistical Tests  Part A","Module 1: Comparing Means between 2 Groups"
"i4x-Medicine-HRP258-videoalpha-6843c3195f67444ca3ba5698f6c2f0ec","Unit 7: Statistical Tests  Part A","Module 2: Comparing Means between more than 2 Groups (13:48 / 6:44 / 11:49)"
"i4x-Medicine-HRP258-videoalpha-6843c3195f67444ca3ba5698f6c2f0ec","Unit 7: Statistical Tests  Part A","Module 2: Comparing Means between more than 2 Groups (13:48 / 6:44 / 11:49)"
"i4x-Medicine-HRP258-videoalpha-cda547c42bed4890a90d9508215b8fa0","Unit 7: Statistical Tests  Part A","Module 3: Alternative tests to the ttest and ANOVA (non-parametric tests) (12:36 / 3:06 / 15:23)"
"i4x-Medicine-HRP258-videoalpha-cda547c42bed4890a90d9508215b8fa0","Unit 7: Statistical Tests  Part A","Module 3: Alternative tests to the ttest and ANOVA (non-parametric tests) (12:36 / 3:06 / 15:23)"
"i4x-Medicine-HRP258-videoalpha-19a4af8e470645bf90dd556f82246b2d","Unit 7: Statistical Tests  Part A","Module 4: Comparing Proportions between 2 Groups"
"i4x-Medicine-HRP258-videoalpha-19a4af8e470645bf90dd556f82246b2d","Unit 7: Statistical Tests  Part A","Module 4: Comparing Proportions between 2 Groups"
"i4x-Medicine-HRP258-videoalpha-413d6a45b82848339ab5fd3836dfb928","Getting Started","Math Review (optional)"
"i4x-Medicine-HRP258-videoalpha-413d6a45b82848339ab5fd3836dfb928","Getting Started","Math Review (optional)"
"i4x-Medicine-HRP258-videoalpha-72d50add4211425299352daa01f70487","Unit 7: Statistical Tests  Part A","Module 5: Comparing Proportions between more than 2 Groups"
"i4x-Medicine-HRP258-videoalpha-72d50add4211425299352daa01f70487","Unit 7: Statistical Tests  Part A","Module 5: Comparing Proportions between more than 2 Groups"
"i4x-Medicine-HRP258-videoalpha-3b4194cc506e4154a14a0204b48ebc8e","Unit 7: Statistical Tests  Part A","Module 6: Comparing Time-to-Event Outcomes between 2 or more Groups (4:41 / 13:34 /  5:04)"
"i4x-Medicine-HRP258-videoalpha-3b4194cc506e4154a14a0204b48ebc8e","Unit 7: Statistical Tests  Part A","Module 6: Comparing Time-to-Event Outcomes between 2 or more Groups (4:41 / 13:34 /  5:04)"
"i4x-Medicine-HRP258-videoalpha-bf5c1e60544944e0b0bb7aac73d01847","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Overview/Weekly Teaser (4:41)"
"i4x-Medicine-HRP258-videoalpha-bf5c1e60544944e0b0bb7aac73d01847","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Overview/Weekly Teaser (4:41)"
"i4x-Medicine-HRP258-videoalpha-cb6076d965824dbcb6a3a4aa8c7a03af","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-cb6076d965824dbcb6a3a4aa8c7a03af","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-2ebda0c79d3043c4b7699695425a30f3","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1 Optional: Calculating Probabilities: Permutations and Combinations"
"i4x-Medicine-HRP258-videoalpha-2ebda0c79d3043c4b7699695425a30f3","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1 Optional: Calculating Probabilities: Permutations and Combinations"
"i4x-Medicine-HRP258-videoalpha-67b77215c10243f1a20d81350909084a","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 2: Rules of Probability"
"i4x-Medicine-HRP258-videoalpha-67b77215c10243f1a20d81350909084a","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 2: Rules of Probability"
"i4x-Medicine-HRP258-videoalpha-af2a429134c640c7810c9f3f9cf33f76","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 3: Probability Trees and Conditional Probability"
"i4x-Medicine-HRP258-videoalpha-af2a429134c640c7810c9f3f9cf33f76","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 3: Probability Trees and Conditional Probability"
"i4x-Medicine-HRP258-videoalpha-655cbd5cd8994b009f8f4e3717a44cf7","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 4: Bayes' Rule"
"i4x-Medicine-HRP258-videoalpha-655cbd5cd8994b009f8f4e3717a44cf7","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 4: Bayes' Rule"
"i4x-Medicine-HRP258-videoalpha-dc7b0b2bd377420f910c8c221b3d45bd","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 4 Optional: Conditional probability  Bayes' rule  and the odds ratio"
"i4x-Medicine-HRP258-videoalpha-dc7b0b2bd377420f910c8c221b3d45bd","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 4 Optional: Conditional probability  Bayes' rule  and the odds ratio"
"i4x-Medicine-HRP258-videoalpha-09839728fc9c48b5b580f17b5b348edd","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 5: Diagnostic testing"
"i4x-Medicine-HRP258-videoalpha-09839728fc9c48b5b580f17b5b348edd","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 5: Diagnostic testing"
"i4x-Medicine-HRP258-videoalpha-58ae15b2b402446aae55b2b08e153210","Unit 7: Statistical Tests  Part A","Overview/Weekly Teasers (5:52)"
"i4x-Medicine-HRP258-videoalpha-58ae15b2b402446aae55b2b08e153210","Unit 7: Statistical Tests  Part A","Overview/Weekly Teasers (5:52)"
"i4x-Medicine-HRP258-videoalpha-9ea2f5582ad749c7a44290b9512680be","Unit 8: Linear Regression  Part A","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-9ea2f5582ad749c7a44290b9512680be","Unit 8: Linear Regression  Part A","Overview/Weekly Teasers"
"i4x-Medicine-HRP258-videoalpha-e0dd0cceeb964f6db1e61fed6c92304e","Unit 8: Linear Regression  Part A","Module 1: Covariance and Correlation"
"i4x-Medicine-HRP258-videoalpha-e0dd0cceeb964f6db1e61fed6c92304e","Unit 8: Linear Regression  Part A","Module 1: Covariance and Correlation"
"i4x-Medicine-HRP258-videoalpha-cec97ee1d9654ccc8e3937f3c4b988af","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-cec97ee1d9654ccc8e3937f3c4b988af","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-f1d575cbb07c440c9500e050e2d63cc8","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-f1d575cbb07c440c9500e050e2d63cc8","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-bfd2263c718948ec8db8d047dc1ecf17","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-bfd2263c718948ec8db8d047dc1ecf17","Unit 3: Probability  Bayes' Rule  Diagnostic Testing","Module 1: Basic Probability (10:22 / 9:01 / 6:02 / 5:15)"
"i4x-Medicine-HRP258-videoalpha-5fd1260078054736a3f4934b2b57f8e3","Unit 4: Probability Distributions","Module 1: Probability Distributions"
"i4x-Medicine-HRP258-videoalpha-5fd1260078054736a3f4934b2b57f8e3","Unit 4: Probability Distributions","Module 1: Probability Distributions"
"i4x-Medicine-HRP258-videoalpha-f0d0ec8805004886a11f5a41e4425d02","Unit 4: Probability Distributions","Module 2: Expected Value"
"i4x-Medicine-HRP258-videoalpha-f0d0ec8805004886a11f5a41e4425d02","Unit 4: Probability Distributions","Module 2: Expected Value"
"i4x-Medicine-HRP258-videoalpha-27f8e3b86c84438cbe1915cb4c388d38","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-27f8e3b86c84438cbe1915cb4c388d38","Unit 1: Descriptive Statistics and Looking at Data","Module 3: Visualizing data (17:54 / 5:23)"
"i4x-Medicine-HRP258-videoalpha-41d677412b2d4ce386e6e580fc9cf6b9","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 6: Regression Worries: Residual Confounding"
"i4x-Medicine-HRP258-videoalpha-41d677412b2d4ce386e6e580fc9cf6b9","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 6: Regression Worries: Residual Confounding"
"i4x-Medicine-HRP258-videoalpha-b20be74d95b9442d81a40da6e3b8de9d","Unit 4: Probability Distributions","Module 1: Probability Distributions"
"i4x-Medicine-HRP258-videoalpha-b20be74d95b9442d81a40da6e3b8de9d","Unit 4: Probability Distributions","Module 1: Probability Distributions"
"i4x-Medicine-HRP258-videoalpha-bd29cc6b5cde4d339a0f091f9f9fca57","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 5: Introduction to Cox Regression"
"i4x-Medicine-HRP258-videoalpha-bd29cc6b5cde4d339a0f091f9f9fca57","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 5: Introduction to Cox Regression"
"i4x-Medicine-HRP258-videoalpha-66fdba05cc184c4c988ff60440d2cc35","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 3: Testing the "linear in the logit" Assumption of Logistical Regression"
"i4x-Medicine-HRP258-videoalpha-66fdba05cc184c4c988ff60440d2cc35","Unit 9: Regression II: Logistic Regression  Cox Regression","Module 3: Testing the "linear in the logit" Assumption of Logistical Regression"
"i4x-Medicine-HRP258-videoalpha-543ad618bdeb4874a6c88e214f143627","Unit 5: Statistical Inference","Module 6: Where does the Margin of Error come from in Polls?"
"i4x-Medicine-HRP258-videoalpha-543ad618bdeb4874a6c88e214f143627","Unit 5: Statistical Inference","Module 6: Where does the Margin of Error come from in Polls?"
"i4x-Medicine-HRP258-videoalpha-7e46cab6e310462abc22fc26aa5a1df1","Unit 5: Statistical Inference","Module 8: HIV Vaccine Trial/Bayesian Inference"
